14,20,1,

01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,
01,00,01,01,01,01,00,00,00,00,00,00,00,00,00,00,00,00,00,01,
01,00,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,00,01,
01,00,01,00,00,01,00,00,00,00,00,00,00,00,00,00,00,00,00,01,
01,00,01,00,00,01,00,00,00,00,01,01,01,00,00,00,00,00,00,01,
01,00,00,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,01,
01,00,00,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,01,
01,00,00,00,01,01,01,01,00,00,01,00,00,00,01,01,01,00,00,01,
01,00,00,01,00,00,00,00,00,00,01,00,00,00,01,00,00,00,00,01,
01,00,01,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,01,
01,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,
